Sentence Num	English Sentence	Chinese Sentence	Judgment [0-5]
1	Chapter 1 .	I	4
2	Once when I was six years old I saw a magnificent picture in a book , called True Stories from Nature , about the primeval forest .	当我还只有六岁的时候，在一本描写原始森林的名叫《真实的故事》的书中，看到了一副精彩的插画，	5
3	It was a picture of a boa constrictor in the act of swallowing an animal .	画的是一条蟒蛇正在吞食一只大野兽。	5
4	I pondered deeply , then , over the adventures of the jungle .	当时，我对丛林中的奇遇想得很多，	5
5	My Drawing Number One .	我的第一号作品。	5
6	It looked like this : I showed my masterpiece to the grown - ups , and asked them whether the drawing frightened them .	它是这样的：我把我的这副杰作拿给大人看，我问他们我的画是不是叫他们害怕。	5
7	But they answered : " Frighten ?	他们回答我说：”害怕？	4
8	So then I chose another profession , and learned to pilot airplanes .	后来，我只好选择了另外一个职业，我学会了开飞机。	5
9	At a glance I can distinguish China from Arizona .	我一眼就能分辨出中国和亚里桑那。	5
10	I have lived a great deal among grown - ups .	我在大人们中间生活过很长时间。	5
11	I have seen them intimately , close at hand .	我仔细地观察过他们，	5
12	And that has n't much improved my opinion of them .	但这并没有使我对他们的看法有多大的改变。	5
13	I would try to find out , so , if this was a person of true understanding .	我想知道他是否真的有理解能力。	5
14	I would bring myself down to his level .	我只得迁就他的水平，	5
15	I would talk to him about bridge , and golf , and politics , and neckties .	和他们谈些桥牌呀，高尔夫球呀，政治呀，领带呀这些。	4
16	And the grown - up would be greatly pleased to have met such a sensible man .	于是大人们就十分高兴能认识我这样一个通情达理的人。	5
17	Chapter 2 .	II。	4
18	Something was broken in my engine .	我的发动机里有个东西损坏了。	5
19	And as I had with me neither a mechanic nor any passengers , I set myself to attempt the difficult repairs all alone .	当时由于我既没有带机械师也没有带旅客，我就试图独自完成这个困难的维修工作。	5
20	" What ! "	“啊？	5
21	" Draw me a sheep ! "	“给我画一只羊…”	5
22	I blinked my eyes hard .	我使劲地揉了揉眼睛，	5
23	But my drawing is certainly very much less charming than its model .	可是，我的画当然要比他本人的模样逊色得多。	4
24	He answered me : " That does n't matter .	他回答我说：“没有关系，	5
25	Draw me a sheep ... "	给我画一只羊吧！”	5
26	But I had never drawn a sheep .	因为我从来没有画过羊。	4
27	Draw me a sheep . "	给我画一只羊吧。”	5
28	This sheep is already very sickly .	这只羊已经病得很重了。	5
29	My friend smiled gently and indulgently .	我的这位朋友天真可爱地笑了。	5
30	It has horns . "	还有犄角呢。”	4
31	But it was rejected too , just like the others .	这副画同前几副一样又被拒绝了。	5
32	" This one is too old .	“这一只太老了。	5
33	The sheep you asked for is inside . "	你要的羊就在里面。”	5
34	I was very surprised to see a light break over the face of my young judge : " That is exactly the way I wanted it !	这时我十分惊奇地看到我的这位小评判员喜笑颜开。 他说：“这正是我想要的，	5
35	" Why ? "	“为什么？”	5
36	" Because where I live everything is very small ... "	“因为我住的地方一切都非常小…”	3
37	I said .	我说	5
38	What is this ' where I live , ' of which you speak ?	于是 他 惊奇 地 说道 ： “ 怎么 ？	0
39	" My little man , where do you come from ?	说到 这里 ， 他 就 长 时间 地 陷入 沉思 之中 。	0
40	" But if you do n't tie him , "	“ 不管 什么 地方 。	0
41	 " That is so .	可是 他 不 回答 我 的 问题 。	0
42	" No , no no !	一 只 羊	0
43	" Then the thorns -- what use are they ? "	“ 它 碰到 什么 吃 什么 。 ” 我 回答 。	0
44	" Oh ! "	“ 有 刺 的 也 吃 ！ ”	0
45	There was a moment of complete silence .	“ 那么 刺 有 什么 用 呢 ？ ”	0
46	So , he tended the flower .	我 不 知道 该 怎么 回答 。	0
47	So , too , she began very quickly to torment him with her vanity - - which was , if the truth be known , a little difficult to deal with .	那会儿 我 正 忙 着 要 从 发动机 上 卸下 一 颗 拧 得 太 紧 的 螺丝 。	0
48	One day , for instance , when she was speaking of her four thorns , she said to the little prince : " Let the tigers come with their claws ! "	我 发现 机器 故障 似乎 很 严重 ，	0
49	 There are no tigers on my planet ,  the little prince objected .	饮水 也 快 完 了 ， 担心 可能 发生 最 坏 的 情况 ， 心里 很 着急 。	0
50	" And , anyway , tigers do not eat weeds . "	“ 那么 刺 有 什么 用 呢 ？ ”	1
51	" I am not a weed , " the flower replied , sweetly .	小 王子 一旦 提出 了 问题 ， 从来 不 会 放过 。	0
52	" Please excuse me ... "	这个 该死 的 螺丝 使 我 很 恼火 ，	0
53	I have my claws . "	这 纯粹 是 花 的 恶劣 表现 。 ”	0
54	And , naïvely , she showed her four thorns .	“ 噢 ！ ”	0
55	Then she added : " Do n't linger like this .	可是 他 沉默 了 一会儿 之后 ，	0
56	You have decided to go away .	怀 着 不满 的 心情 冲 我 说 ： “ 我 不 信 ！	0
57	Now go ! "	花 是 弱小 的 、	0
58	For she did not want him to see her crying .	他们 是 淳朴 的 ，	0
59	She was such a proud flower ...	它们 总是 设法 保护 自己 ，	0
60	Chapter 10 .	以为 有 了 刺 就 可以 显出 自己 的 厉害 … ”	0
61	He found himself in the neighborhood of the asteroids 325 , 326 , 327 , 328 , 329 , and 330 .	我 默不作声 。	0
62	He began , therefore , by visiting them , in order to add to his knowledge . 	我 当时 想 的 ， 如果 这个 螺丝 再 和 我 作对 ， 我 就 一 锤子 敲掉 它 。	0
63	He looked at me very gravely , and put his arms around my neck .	“ 你 却 认为 花 … ”	0
64	I felt his heart beating like the heart of a dying bird , shot with someone 's rifle ...	“ 算了 吧 ！	0
65	" Now you can go back home - - "	“ 算了 吧 ， 算了 吧 ！	0
66	" How do you know about that ? "	我 什么 也 不 认为 ！	0
67	Then , sadly - - " It is much farther ... it is much more difficult ... "	他 惊讶 地 看 着 我 。	0
68	I realised clearly that something extraordinary was happening .	“ 正经 事 ？ ”	0
69	His look was very serious , like some one lost far away .	“ 你 说话 就 和 那些 大人 一样 ！ ”	0
70	And I have the sheep 's box .	可是 他 又 尖刻 无情 地 说道 ： “ 你 什么 都 分 不 清 …	0
71	And I have the muzzle ... "	 你 把 什么 都 混 在 一起 ！ ”	0
72	I waited a long time .	摇动 着 脑袋 ， 金黄色 的 头发 随 风 颤动 着 。	0
73	Where do you want to take your sheep ? "	你 是 从 天 上 掉 下来 的 ？ ”	1
74	I made a great effort , therefore , to find out more on this subject .	你们 可以 想见 这 种 关于 “ 别的 星球 ” 的 若明若暗 的 话语 使 我 心里 多么 好奇 。	0
75	Straight ahead of him . "	它 一直 往 前 跑 … ”	1
76	After a reflective silence he answered : " The thing that is so good about the box you have given me is that at night he can use it as his house . "	接着 ， 他 略 带 伤感 地 又 补充 了 一 句 ： “ 一直 朝 前 走 ， 也 不 会 走出 多 远 … ”	1
77	Where do you want to take your sheep ? "	然后 ， 从 口袋 里 掏出 了 我 画 的 小羊 ， 看 着 他 的 宝贝 入 了 神 。	1
78	 And he sank into a reverie , which lasted a long time .	他 一面 看 着 我 的 飞机 ， 一面 微微 地 点点 头 ， 接着 说道 ： “ 可 不 是 么 ， 乘坐 这 玩艺儿 ， 你 不 可能 是 从 很 远 的 地方 来 的 … ”	0
79	Abruptly , without anything to lead up to it , and as if the question had been born of long and silent meditation on his problem , he demanded : " A sheep -- if it eats little bushes , does it eat flowers , too ? "	“ 连 有 刺 的 花 也 吃 吗 ？ ”	2
80	" I am not at all afraid of tigers , " she went on , " but I have a horror of drafts .	我 于是 就 随便 回答 了 他 一 句 ： “ 刺 么 ， 什么 用 都 没有 ，	0
81	And now I did not dare ask him any more questions .	小 王子 又 来 打搅 我 的 思绪 了 ：	0
82	" I am glad that you have found what was the matter with your engine , " he said .	我 哭 着 说 。	1
83	I was just coming to tell him that my work had been successful , beyond anything that I had dared to hope .	我 是 随便 回答 你 的 。	1
84	He made no answer to my question , but he added : " I , too , am going back home today ... "	我 可 有 正经 事 要 做 。 ”	1
85	I was holding him close in my arms as if he were a little child ; and yet it seemed to me that he was rushing headlong toward an abyss from which I could do nothing to restrain him ...	他 瞅 着 我 手 拿 锤子 ， 手指 沾满 了 油污 ， 伏 在 一 个 在 他 看来 丑不可言 的 机件 上 。	0
86	" I have your sheep .	这 话 使 我 有点 难堪 。	0
87	And he gave me a sad smile .	他 着实 非常 恼火 。	1
88	And after some work with a colored pencil I succeeded in making my first drawing .	于是，我也用彩色铅笔画出了我的第一副图画。	3
89	So I drew for him one of the two pictures I had drawn so often .	我就给他重画我所仅仅会画的两副画中	5
90	It was that of the boa constrictor from the outside .	的那副闭着肚皮的巨蟒。	4
91	Where I live , everything is very small .	我住的地方非常小。	2
92	By this time my patience was exhausted , because I was in a hurry to start taking my engine apart .	我不耐烦了。 因为我急于要检修发动机，	4
93	After that they are not able to move , and they sleep through the six months that they need for digestion . "	尔后就不能再动弹了；它们就在长长的六个月的睡眠中消化这些食物。”	4
94	But since the grown - ups were not able to understand it , I made another drawing : I drew the inside of the boa constrictor , so that the grown - ups could see it clearly .	既然大人们不能够理解。 于是我又把巨蟒肚子里的情况画了出来，以便让大人们能够看懂。	3
95	In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .	这样，在我的生活中，我跟许多严肃的人有过很多的接触。	3
96	But , whoever it was , he , or she , would always say : " That is a hat . "	可是，得到的回答总是：“这是顶帽子。”	4
97	I looked carefully all around me .	仔细地看了看。	3
98	The grown - ups discouraged me in my painter 's career when I was six years old , and I never learned to draw anything , except boas from the outside and boas from the inside .	六岁时，大人们使我对我的画家生涯失去了勇气，除了画过开着肚皮和闭着肚皮的蟒蛇，后来再没有学过画。	3
99	Now I stared at this sudden apparition with my eyes fairly starting out of my head in astonishment .	我惊奇地睁大着眼睛看着这突然出现的小家伙。	4
100	Remember , I had crashed in the desert a thousand miles from any inhabited region .	你们不要忘记，我当时处在远离人烟千里之外的地方。	5
101	And yet my little man seemed neither to be straying uncertainly among the sands , nor to be fainting from fatigue or hunger or thirst or fear .	而这个小家伙给我的印象是，他既不象迷了路的样子，也没有半点疲乏、饥渴、惧怕的神情。	4
102	Nothing about him gave any suggestion of a child lost in the middle of the desert , a thousand miles from any human habitation .	他丝毫不象是一个迷失在旷无人烟的大沙漠中的孩子。	5
103	Absurd as it might seem to me , a thousand miles from any human habitation and in danger of death , I took out of my pocket a sheet of paper and my fountain - pen .	在这旷无人烟的沙漠上，面临死亡的危险的情况下，尽管这样的举动使我感到十分荒诞，我还是掏出了一张纸和一支钢笔。	5
104	And I was astounded to hear the little fellow greet it with , " No , no , no !	“不，不！” 我听了他的话，简直目瞪口呆。	5
105	I do not want an elephant inside a boa constrictor .	我不要蟒蛇，它肚子里还有一头象。”	3
106	A boa constrictor is a very dangerous creature , and an elephant is very cumbersome .	巨蟒这东西太危险，大象又太占地方。	5
107	" You see yourself , " he said , " that this is not a sheep .	“你看，你画的不是小羊”他说。	5
108	And I threw out an explanation with it .	并且匆匆地对他说道：“	3
109	" There will surely be enough grass for him , "	地方小也够喂养它的。”	2
110	Here is a copy of the drawing .	页头上就是那副画的摹本。	4
111	In the book it said : " Boa constrictors swallow their prey whole , without chewing it .	这本书中写道：“这些蟒蛇把它们的猎获物不加咀嚼地囫囵吞下	4
112	Why should any one be frightened by a hat ? "	“一顶帽子有什么可怕的？”	5
113	My drawing was not a picture of a hat .	我画的不是帽子，	5
114	It was a picture of a boa constrictor digesting an elephant .	是一条巨蟒在消化着一头大象。	5
115	They always need to have things explained .	这些大人总是需要解释。	5
116	My Drawing Number Two looked like this : The grown - ups ' response , this time , was to advise me to lay aside my drawings of boa constrictors , whether from the inside or the outside , and devote myself instead to geography , history , arithmetic and grammar .	我的第二号作品是这样的：大人们劝我把这些画着开着肚皮的，或闭上肚皮的蟒蛇的图画放在一边，还是把兴趣放在地理、历史、算术、语法上。	4
117	That is why , at the age of six , I gave up what might have been a magnificent career as a painter .	就这样，在六岁的那年，我就放弃了当画家这一美好的职业。	5
118	I had been disheartened by the failure of my Drawing Number One and my Drawing Number Two .	我的第一号、第二号作品的不成功，使我泄了气。	5
119	Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .	这些大人们，靠他们自己什么也弄不懂，还得老是不断地给他们作解释。	3
120	I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .	世界各地差不多都飞到过。 的确，地理学帮了我很大的忙。	5
121	If one gets lost in the night , such knowledge is valuable .	要是夜里迷失了航向，这是很有用的。	4
122	Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .	当我遇到一个头脑看来稍微清楚的大人时，我就拿出一直保存着的我那第一号作品来测试测试他。	5
123	Then I would never talk to that person about boa constrictors , or primeval forests , or stars .	我就不和他谈巨蟒呀，原始森林呀，或者星星之类的事。	5
124	So I lived my life alone , without anyone that I could really talk to , until I had an accident with my plane in the Desert of Sahara , six years ago .	我就这样孤独地生活着，没有一个能真正谈得来的人，一直到六年前在撒哈拉沙漠上发生了那次故障。	5
125	It was a question of life or death for me : I had scarcely enough drinking water to last a week .	这对我来说是个生与死的问题。 我随身带的水只够饮用一星期。	5
126	The first night , then , I went to sleep on the sand , a thousand miles from any human habitation .	第一天晚上我就睡在这远离人间烟火的大沙漠上。	4
127	I was more isolated than a shipwrecked sailor on a raft in the middle of the ocean .	我比大海中伏在小木排上的遇难者还要孤独得多。	4
128	Thus you can imagine my amazement , at sunrise , when I was awakened by an odd little voice .	而在第二天拂晓，当一个奇怪的小声音叫醒我的时候，你们可以想见我当时是多么吃惊。	5
129	It said : " If you please -- draw me a sheep ! "	这小小的声音说道：“请你给我画一只羊，好吗？”	4
130	I jumped to my feet , completely thunderstruck .	我象是受到惊雷轰击一般，一下子就站立起来。	5
131	And I saw a most extraordinary small person , who stood there examining me with great seriousness .	我看见一个十分奇怪的小家伙严肃地朝我凝眸望着。	4
132	Here you may see the best portrait that , later , I was able to make of him .	这是后来我给他画出来的最好的一副画像	5
133	That , however , is not my fault .	这不是我的过错。	4
134	When at last I was able to speak , I said to him : " But -- what are you doing here ? "	当我在惊讶之中终于又能说出话来的时候，对他说道：“唉，你在这儿干什么？”	3
135	And in answer he repeated , very slowly , as if he were speaking of a matter of great consequence : " If you please -- draw me a sheep ... "	可是他却不慌不忙地好象有一件重要的事一般，对我重复地说道：“请…给我画一只羊…”	5
136	When a mystery is too overpowering , one dare not disobey .	当一种神秘的东西把你镇住的时候，你是不敢不听从它的支配的，	5
137	But then I remembered how my studies had been concentrated on geography , history , arithmetic , and grammar , and I told the little chap ( a little crossly , too ) that I did not know how to draw .	这时我却又记起，我只学过地理、历史、算术和语法，就有点不大高兴地对小家伙说我不会画画。	4
138	What I need is a sheep .	我需要一只羊。	5
139	So then I made a drawing .	我就给他画了。	5
140	He looked at it carefully , then he said : " No .	他专心地看着，随后又说：“我不要，	4
141	Make me another . "	给我重新画一只。”	5
142	So I made another drawing .	我又画了起来。	5
143	This is a ram .	是头公羊，	5
144	So then I did my drawing over once more .	于是我又重新画了一张。	5
145	I want a sheep that will live a long time . "	我想要一只能活得长的羊。”	5
146	So I tossed off this drawing .	于是就草草画了这张画，	5
147	" This is only his box .	这是一只箱子，	4
148	Do you think that this sheep will have to have a great deal of grass ? "	你说这只羊需要很多草吗？”	5
149	" It is a very small sheep that I have given you . "	“我给你画的是一只很小的小羊，	5
150	 	他把脑袋靠近这张画。 “并不象你说的那么小…瞧！	5